gc_content,cpg_dinucleotide_freq,obs_exp_ratio,sequence_complexity
0.695,0.11557788944723618,0.0049483648881239245,1.8582110748617278
0.685,0.02512562814070352,0.0010912265386294195,1.874199372893096
0.69,0.04020100502512563,0.0018181818181818182,1.8465113337674364
0.69,0.05025125628140704,0.0021021652301870925,1.8812543559063888
0.69,0.06030150753768844,0.0026833631484794278,1.862414429194861
0.695,0.05527638190954774,0.0024509803921568627,1.849883096589373
0.695,0.11055276381909548,0.004560530679933665,1.860052340016695
0.685,0.05527638190954774,0.002380952380952381,1.8898002656185764
0.695,0.035175879396984924,0.0015730337078651685,1.837246392823102
0.69,0.0,0.0,1.2679833703072991
0.695,0.02512562814070352,0.0010969723562966212,1.8414725140653339
0.69,0.035175879396984924,0.0014957264957264956,1.8762512493726962
0.685,0.04522613065326633,0.001948051948051948,1.8865798798729476
0.69,0.05527638190954774,0.002314814814814815,1.891999540525925
0.695,0.035175879396984924,0.0014976465554129227,1.8709521963931153
0.69,0.035175879396984924,0.0014780405405405406,1.888460072391391
0.69,0.04522613065326633,0.001900337837837838,1.8884600723913911
0.69,0.05025125628140704,0.0021008403361344537,1.884638871455675
0.69,0.05527638190954774,0.002328042328042328,1.8856716641788585
0.685,0.010050251256281407,0.0004314063848144953,1.8859628107097843
0.695,0.02512562814070352,0.0010416666666666667,1.870733328337932
0.695,0.06030150753768844,0.002542372881355932,1.865760879530142
0.685,0.005025125628140704,0.00022172949002217298,1.8781100193559732
0.695,0.06030150753768844,0.0025136154168412233,1.8742739914057993
0.69,0.08542713567839195,0.003589527027027027,1.8868241037345759
0.685,0.07537688442211055,0.003198294243070362,1.8888790037645111
0.69,0.04522613065326633,0.0018907563025210084,1.8815680401780512
0.695,0.035175879396984924,0.001466275659824047,1.8814084979360126
0.695,0.04522613065326633,0.001865671641791045,1.860052340016695
0.695,0.04522613065326633,0.001863354037267081,1.8655872478862758
0.685,0.01507537688442211,0.0006471095772217429,1.885962810709784
0.695,0.04522613065326633,0.002180232558139535,1.8096487713629927
0.69,0.02512562814070352,0.0010775862068965517,1.8802368738915058
0.685,0.020100502512562814,0.0008691873098652759,1.888811005821282
0.69,0.03015075376884422,0.0012612991381122556,1.863976615274933
0.685,0.035175879396984924,0.00196078431372549,1.7749361183684702
0.695,0.035175879396984924,0.0020011435105774726,1.737051627838373
0.695,0.04020100502512563,0.0021197668256491787,1.7703918969232804
0.695,0.04522613065326633,0.0024271844660194177,1.7610402266920397
0.695,0.04020100502512563,0.0021574973031283713,1.758653394034294
0.69,0.02512562814070352,0.0010521885521885524,1.883802233504006
0.685,0.05025125628140704,0.0021645021645021645,1.8865798798729476
0.685,0.02512562814070352,0.0010912265386294195,1.8857723783517173
0.685,0.05527638190954774,0.0027214250371103412,1.8281938881898614
0.69,0.05527638190954774,0.002312381753205802,1.8521878773171951
0.69,0.05025125628140704,0.0021008403361344537,1.8928361784775936
0.695,0.07035175879396985,0.0029106029106029103,1.8837341864755561
0.69,0.05527638190954774,0.0023344651952461803,1.8871106044585877
0.695,0.05527638190954774,0.0022802653399668325,1.8837648146475128
0.695,0.04522613065326633,0.0020224719101123597,1.8425090742272854
0.685,0.01507537688442211,0.0006410256410256409,1.8906076140215466
0.69,0.04020100502512563,0.0016803192606595252,1.8740512175702129
0.69,0.04020100502512563,0.0017094017094017094,1.8731804180950722
0.685,0.04522613065326633,0.0019263698630136987,1.892073912731834
0.695,0.03015075376884422,0.0012987012987012987,1.8581404270069073
0.685,0.05025125628140704,0.00221729490022173,1.8725799106623313
0.685,0.04020100502512563,0.0017123287671232878,1.892073912731834
0.695,0.04522613065326633,0.002239920358387257,1.7975717094069397
0.685,0.06030150753768844,0.0027586206896551726,1.860935794330791
0.695,0.02512562814070352,0.0010351966873706005,1.8800976722740614
0.695,0.03015075376884422,0.0012474012474012473,1.875144532529871
0.695,0.04522613065326633,0.00193631669535284,1.8362156750289418
0.685,0.05025125628140704,0.002150537634408602,1.8813993918541612
0.685,0.03015075376884422,0.0013793103448275863,1.861853102601424
0.685,0.07537688442211055,0.0033692722371967652,1.8603350189837204
0.685,0.04020100502512563,0.0017057569296375266,1.8916612190409352
0.69,0.05025125628140704,0.0027739251040221915,1.7659516163223552
0.685,0.01507537688442211,0.0009345794392523364,1.7332373345988676
0.69,0.03015075376884422,0.0013416815742397139,1.8624144291948608
0.685,0.020100502512562814,0.0012172854534388312,1.7165779325709538
0.695,0.04020100502512563,0.0017115960633290546,1.8709521963931155
0.695,0.035175879396984924,0.001506024096385542,1.8668007288074124
0.685,0.06532663316582915,0.002770673486786019,1.8941815731094565
0.685,0.01507537688442211,0.0006578947368421051,1.8843526787474054
0.69,0.02512562814070352,0.0010775862068965517,1.865407405608089
0.69,0.035175879396984924,0.0015018236429950654,1.8789487539255885
0.69,0.04522613065326633,0.002126654064272212,1.8365648507541081
0.69,0.07537688442211055,0.0031512605042016803,1.8586697317807799
0.685,0.05025125628140704,0.002134016218523261,1.8614178330849267
0.685,0.04522613065326633,0.001935483870967742,1.8929723973127823
0.695,0.04522613065326633,0.001863354037267081,1.8843877004508922
0.685,0.06030150753768844,0.0025684931506849314,1.8837212930188414
0.685,0.06532663316582915,0.002771855010660981,1.897191327734577
0.695,0.035175879396984924,0.0014583333333333332,1.862470232469527
0.685,0.020100502512562814,0.0008561643835616439,1.865730494033831
0.69,0.05025125628140704,0.0021114864864864866,1.890557588272082
0.69,0.05025125628140704,0.002177700348432056,1.873302117604559
0.695,0.05527638190954774,0.0025712949976624596,1.8287940752651337
0.69,0.020100502512562814,0.0008403361344537815,1.8780067101941764
0.695,0.05025125628140704,0.002071251035625518,1.8798900723439904
0.685,0.02512562814070352,0.0010656436487638534,1.882082642237112
0.695,0.05025125628140704,0.002070393374741201,1.88675895196202
0.695,0.03015075376884422,0.0012771392081736908,1.860086597518618
0.69,0.03015075376884422,0.0012733446519524619,1.8796119820830346
0.685,0.035175879396984924,0.0015210777922642328,1.8583298931070173
0.685,0.02512562814070352,0.0010725010725010726,1.888709232589842
0.695,0.020100502512562814,0.0008438818565400844,1.8773883712687154
0.69,0.05025125628140704,0.002145462347135808,1.882449505341748
0.69,0.03015075376884422,0.0012733446519524619,1.8796119820830346
0.685,0.04020100502512563,0.0017050298380221654,1.8974019588550852
0.69,0.02512562814070352,0.0015817779183802596,1.7149876322578703
0.695,0.035175879396984924,0.0014553014553014552,1.8804072139340544
0.695,0.04020100502512563,0.0016708437761069341,1.8656096480354476
0.69,0.04522613065326633,0.0019715224534501644,1.868806563789032
0.69,0.03015075376884422,0.0012774111134766872,1.8749667560096877
0.695,0.04522613065326633,0.00193631669535284,1.867748203296124
0.685,0.07537688442211055,0.003225806451612903,1.8846600733427161
0.685,0.03015075376884422,0.0013094718463553033,1.8774600543816513
0.685,0.06532663316582915,0.002777777777777778,1.89291733696956
0.695,0.01507537688442211,0.0007177033492822966,1.817692575423821
0.685,0.035175879396984924,0.0015099223468507336,1.8799199139448048
0.685,0.005025125628140704,0.00021505376344086021,1.8634085928691508
0.69,0.020100502512562814,0.0008620689655172414,1.8783720911321615
0.695,0.035175879396984924,0.001489995742869306,1.8414626774587752
0.695,0.01507537688442211,0.0007949125596184419,1.771815673945697
0.695,0.010050251256281407,0.0005494505494505496,1.7566482895937783
0.685,0.035175879396984924,0.0014925373134328358,1.898566826930667
0.695,0.01507537688442211,0.0006284038542103058,1.859763567018014
0.695,0.05527638190954774,0.0022774327122153212,1.8872321788042745
0.69,0.06030150753768844,0.0025210084033613443,1.8893354270614338
0.685,0.03015075376884422,0.0014844136566056407,1.8240561941735995
0.685,0.05025125628140704,0.0021321961620469083,1.8856183222759557
0.695,0.04020100502512563,0.004065040650406504,1.5057004713846078
0.685,0.07537688442211055,0.0032594524119947846,1.8865154078032709
0.69,0.05025125628140704,0.0021074815595363543,1.8912670972079928
0.685,0.035175879396984924,0.0014919011082693947,1.8960236691077073
0.69,0.06030150753768844,0.002522598276224511,1.8776930259225142
0.685,0.04020100502512563,0.0017543859649122805,1.8820570807293946
0.695,0.04522613065326633,0.0018679950186799503,1.8855129221017308
0.685,0.05025125628140704,0.0022461814914645105,1.8663779157487
0.69,0.04020100502512563,0.001681732184149674,1.8690645932087318
0.69,0.04522613065326633,0.0019047619047619048,1.8550059688982041
