0,1,2,3,label
0.825,0.1557788944723618,0.0052223719676549,1.590285399186078,1.0
0.785,0.135678391959799,0.0043959622272875,1.748986273041167,1.0
0.585,0.0603015075376884,0.0035820895522388,1.970067443797443,1.0
0.595,0.0603015075376884,0.0058309037900874,1.7224309232329509,1.0
0.78,0.1407035175879397,0.004614370468029,1.7583591682602724,1.0
0.54,0.0653266331658291,0.0044967139398132,1.9792497845441184,1.0
0.72,0.0653266331658291,0.0027659574468085,1.7678497630650811,1.0
0.795,0.1557788944723618,0.0049097244219195,1.7240650259919326,1.0
0.67,0.0804020100502512,0.0036630036630036,1.893926700772112,1.0
0.615,0.0854271356783919,0.0044949762030671,1.9602957843917896,1.0
0.665,0.0904522613065326,0.0044532409698169,1.8377127754755969,1.0
0.835,0.1809045226130653,0.0051783659378596,1.635421802609319,1.0
0.735,0.135678391959799,0.0050167224080267,1.8288651725421452,1.0
0.74,0.1055276381909547,0.0038461538461538,1.822683399247655,1.0
0.68,0.0904522613065326,0.0041208791208791,1.8767430876868507,1.0
0.785,0.1457286432160804,0.0047918043621943,1.721495358132032,1.0
0.605,0.0351758793969849,0.0019607843137254,1.9493943920539976,1.0
0.65,0.0703517587939698,0.0033262057495842,1.9320851809574024,1.0
0.755,0.0904522613065326,0.0033834586466165,1.766437873833016,1.0
0.585,0.0703517587939698,0.0040935672514619,1.9735004766513569,1.0
0.79,0.1758793969849246,0.0057405281285878,1.715743142218257,1.0
0.78,0.1105527638190954,0.0043478260869565,1.6626141413428437,1.0
0.725,0.1457286432160804,0.0056596409055425,1.834743576599125,1.0
0.795,0.1507537688442211,0.0048154093097913,1.7164237333420989,1.0
0.745,0.1055276381909547,0.0038043478260869,1.807550776632609,1.0
0.65,0.0804020100502512,0.0038195273334924,1.9267624020007157,1.0
0.71,0.0954773869346733,0.0039215686274509,1.848428109449908,1.0
0.52,0.0653266331658291,0.0048094709581945,1.9987068067665907,1.0
0.67,0.0804020100502512,0.0038415366146458,1.8761050131731216,1.0
0.705,0.0954773869346733,0.0040737564322469,1.8404251640625795,1.0
0.69,0.0904522613065326,0.0038006756756756,1.890324855150736,1.0
0.7,0.1055276381909547,0.0042865890998162,1.8809473523586304,1.0
0.655,0.0854271356783919,0.0039627039627039,1.9013077163125176,1.0
0.74,0.1055276381909547,0.0051132213294375,1.6770137018203242,1.0
0.725,0.1155778894472361,0.0047169811320754,1.786076646758087,1.0
0.635,0.0703517587939698,0.0034825870646766,1.944918376769165,1.0
0.615,0.0703517587939698,0.0038356164383561,1.9435949915909283,1.0
0.65,0.0703517587939698,0.0033939393939393,1.9210690320652068,1.0
0.75,0.1155778894472361,0.0041787790697674,1.7993096818079417,1.0
0.76,0.1658291457286432,0.0058855002675227,1.7786199884238072,1.0
0.74,0.1105527638190954,0.0041454682494818,1.803207123622112,1.0
0.33,0.0201005025125628,0.0037037037037037,1.9021496279693424,1.0
0.835,0.1658291457286432,0.0047619047619047,1.6397415199376613,1.0
0.635,0.0753768844221105,0.0037593984962406,1.927536844044794,1.0
